district,village,office,agree,disagree
鳳山區,興仁里,1319,477,17
鳳山區,興中里,1320,330,17
鳳山區,協和里,1321,397,19
鳳山區,協和里,1322,305,16
鳳山區,協和里,1323,409,12
鳳山區,忠義里,1324,365,13
鳳山區,忠義里,1325,362,10
鳳山區,忠義里,1326,359,9
鳳山區,忠義里,1327,583,17
鳳山區,忠孝里,1328,471,13
鳳山區,忠孝里,1329,363,9
鳳山區,忠孝里,1330,393,12
鳳山區,忠孝里,1331,509,10
鳳山區,忠孝里,1332,357,16
鳳山區,中和里,1333,455,8
鳳山區,中和里,1334,323,14
鳳山區,中和里,1335,418,5
鳳山區,誠義里,1336,713,16
鳳山區,誠義里,1337,608,16
鳳山區,生明里,1338,310,6
鳳山區,生明里,1339,309,16
鳳山區,鎮東里,1340,431,14
鳳山區,鎮東里,1341,432,8
鳳山區,瑞竹里,1342,444,7
鳳山區,瑞竹里,1343,457,10
鳳山區,瑞竹里,1344,397,19
鳳山區,瑞竹里,1345,514,13
鳳山區,瑞興里,1346,528,11
鳳山區,瑞興里,1347,475,18
鳳山區,瑞興里,1348,638,11
鳳山區,東門里,1349,533,19
鳳山區,東門里,1350,166,6
鳳山區,東門里,1351,455,11
鳳山區,東門里,1352,435,11
鳳山區,誠德里,1353,351,7
鳳山區,誠德里,1354,428,15
鳳山區,誠信里,1355,242,7
鳳山區,誠信里,1356,281,10
鳳山區,誠智里,1357,381,12
鳳山區,誠智里,1358,395,8
鳳山區,鳳東里,1359,565,19
鳳山區,鳳東里,1360,664,19
鳳山區,鳳東里,1361,582,14
鳳山區,鳳東里,1362,600,12
鳳山區,埤頂里,1363,629,12
鳳山區,埤頂里,1364,526,11
鳳山區,埤頂里,1365,465,19
鳳山區,埤頂里,1366,445,12
鳳山區,中正里,1367,273,9
鳳山區,中正里,1368,163,12
鳳山區,中正里,1369,125,10
鳳山區,海光里,1370,410,10
鳳山區,海光里,1371,458,19
鳳山區,國泰里,1372,430,6
鳳山區,國泰里,1373,467,20
鳳山區,國泰里,1374,517,12
鳳山區,國光里,1375,421,11
鳳山區,國光里,1376,457,8
鳳山區,國光里,1377,365,15
鳳山區,國隆里,1378,514,9
鳳山區,國隆里,1379,501,13
鳳山區,國富里,1380,549,22
鳳山區,國富里,1381,470,13
鳳山區,武慶里,1382,509,11
鳳山區,武慶里,1383,478,13
鳳山區,武漢里,1384,440,10
鳳山區,武漢里,1385,456,15
鳳山區,武漢里,1386,493,16
鳳山區,武漢里,1387,578,10
鳳山區,新甲里,1388,662,14
鳳山區,新甲里,1389,557,22
鳳山區,新武里,1390,556,16
鳳山區,新武里,1391,486,15
鳳山區,新泰里,1392,613,11
鳳山區,新泰里,1393,523,12
鳳山區,新泰里,1394,511,9
鳳山區,新樂里,1395,563,14
鳳山區,新樂里,1396,602,9
鳳山區,新樂里,1397,640,20
鳳山區,新強里,1398,591,14
鳳山區,新強里,1399,531,13
鳳山區,新強里,1400,592,24
鳳山區,新強里,1401,443,16
鳳山區,海洋里,1402,484,13
鳳山區,海洋里,1403,487,19
鳳山區,海洋里,1404,562,11
